Timestamp,Today's Date,"By clicking on the ""Yes"" button, I agree to take part in this project. I know what I will have to do and that I can stop at any time.","Computer experience (Internet Search, email, discord, discussion groups, games, word processing, spreadsheets, organizing files & folders, etc.)",Programming Experience (self-initialized learning and/or formal programming course,Programming Experiences compared to your classmates,Rate your programming experiences [C++],Rate your programming experiences [C],Rate your programming experiences [C#],Rate your programming experiences [Java],Rate your programming experiences [Javascript],Rate your programming experiences [PHP],Rate your programming experiences [Python],Rate your programming experiences [Scratch],Rate your programming experiences [Visual Basic],Rate your programming experiences [Other],"Rate your experience with using the following in your program [Data Types (int, floats, double, bool, char)]",Rate your experience with using the following in your program [Arithmetic Expressions & Operations],"Rate your experience with using the following in your program [Branching (if/else, switch, relational & logic operators, relational expressions)]","Rate your experience with using the following in your program [Loops (while, do-while, for)]",Rate your experience with using the following in your program [Function calls],Rate your experience with using the following in your program [Writing functions],Rate your experience with using the following in your program [Reference Variables in Functions],Rate your experience with using the following in your program [Arrays],Rate your experience with using the following in your program [Pointers],Rate your experience with using the following in your program [C++ Structures (struct)],Rate your experience with using the following in your program [Classes & Objects],Where did you get your programming experience? (select all that applies),Rate your experience with the following [Parallel processing (computing where the operations within a program that are being executed simultaneously) ],Rate your experience with the following [Distributed computing (computing with a program that runs on multiple computers or that runs using data from a different computer) ],Rate your experience with the following [Event handling (having a function that responds to an independent action) ],To what extent do you agree or disagree with the following statements?  [interest in computing is high],To what extent do you agree or disagree with the following statements?  [interest in PDC is high],To what extent do you agree or disagree with the following statements?  [learning about PDC is important],To what extent do you agree or disagree with the following statements?  [I have a good understanding of computing],To what extent do you agree or disagree with the following statements?  [I have a good understanding of PDC],Rate each of the following based on how well they helped you learn in COSC 1560. [Textbook],Rate each of the following based on how well they helped you learn in COSC 1560. [Programming assignments],Rate each of the following based on how well they helped you learn in COSC 1560. [In-class practices ],Rate each of the following based on how well they helped you learn in COSC 1560. [Attending classes],Rate each of the following based on how well they helped you learn in COSC 1560. [Meeting with the instructor outside of class ],Rate each of the following based on how well they helped you learn in COSC 1560. [Tutoring provided by REEG ARC peer tutors],Rate each of the following based on how well they helped you learn in COSC 1560. [Exams and preparing for exams],"Out of the learning activities listed above (or any other experience in class), what benefitted the most to your learning experience ? ","Some course learning goals are listed below. Rate if you agree or disagree with these statements after taking COSC 1560.  [I am able to write C++ programs using arrays, pointers, structured data and file operations.]",Some course learning goals are listed below. Rate if you agree or disagree with these statements after taking COSC 1560.  [I am able to design programming solutions for different problems using Department Style Guidelines.],"Some course learning goals are listed below. Rate if you agree or disagree with these statements after taking COSC 1560.  [I am able to understand relationship between arrays and pointers, do pointer arithmetic, and use pointers as parameters.]",Some course learning goals are listed below. Rate if you agree or disagree with these statements after taking COSC 1560.  [I am able use character macros available in cctype and the cstring functions available in string.],Some course learning goals are listed below. Rate if you agree or disagree with these statements after taking COSC 1560.  [I am able to write code to read and write to text and binary files.],Some course learning goals are listed below. Rate if you agree or disagree with these statements after taking COSC 1560.  [I am able to work with abstract data types and structures.],Some course learning goals are listed below. Rate if you agree or disagree with these statements after taking COSC 1560.  [I am able to declare class with public and private members and functions.],Some course learning goals are listed below. Rate if you agree or disagree with these statements after taking COSC 1560.  [I am able to use class constructors and destructors. ],What changes or adjustments should be made to enhance the overall learning experience in this course ?,What is the most useful skill that you acquired or improved in this class ?,What grade do you expect to get in this class?,What is your major? (select all that apply) (optional)
2025/12/05 6:47:12 PM EST,12/5/2025,Yes,5,4,4,Between Slightly and Moderately Experienced,Slightly Experienced,Slightly Experienced,Between Slightly and Moderately Experienced,No Experience At all,No Experience At all,No Experience At all,No Experience At all,No Experience At all,Slightly Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Slightly Experienced,Moderately Experienced,Moderately Experienced,COSC 1550;COSC 1560,Slightly Experienced,Very Little Expereience,Slightly Experienced,Neutral,Neutral,Neutral,Neutral,Partially Disagree,Slightly helpful,Very helpful,Very helpful,Extremely helpful,Very helpful,Undecided (not sure if helpful or harmful),Extremely helpful,,Somewhat Agree,Somewhat Agree,Somewhat Agree,Neutral,Somewhat Agree,Somewhat Agree,Somewhat Agree,Somewhat Agree,More practise questions and examples would be really helpful ,overall of the different programming languages ,B (80 +),Computer Science;Computer Science with an Emphasis on Cybersecurity
2025/12/05 7:21:15 PM EST,12/5/2025,Yes,6,5,4,Moderately Experienced,No Experience At all,No Experience At all,No Experience At all,No Experience At all,No Experience At all,No Experience At all,No Experience At all,No Experience At all,No Experience At all,Very Experienced,Very Experienced,Very Experienced,Moderately Experienced,Very Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,COSC 1550;COSC 1560;Other Webster University COSC courses,No Experience At All,No Experience At All,Moderately Experienced,Partially Agree,Partially Agree,Agree,Partially Disagree,Disagree,Undecided (not sure if helpful or harmful),Very helpful,Extremely helpful,Extremely helpful,Undecided (not sure if helpful or harmful),Undecided (not sure if helpful or harmful),Undecided (not sure if helpful or harmful),,Somewhat Agree,Agree,Agree,Disagree,Agree,Agree,Agree,Agree,"This course felt very fast paced, It would be nice if we could of spent more time on each topic. Working through problems is allways helpful, but some of the examples made things more confusing, which could of been do to the quick pace that I found myself unsure of what I'm supposed to be taking away from this example. ",,A (90 +),Computer Science
2025/12/05 9:28:18 PM EST,12/5/2025,Yes,6,4,4,Between Slightly and Moderately Experienced,Very Little Experience,No Experience At all,Very Little Experience,Very Little Experience,No Experience At all,Very Little Experience,No Experience At all,No Experience At all,No Experience At all,Moderately Experienced,Between Slightly and Moderately Experienced,Between Slightly and Moderately Experienced,Between Slightly and Moderately Experienced,Between Slightly and Moderately Experienced,Slightly Experienced,Slightly Experienced,Slightly Experienced,Slightly Experienced,Between Slightly and Moderately Experienced,Slightly Experienced,COSC 1550;COSC 1560;Other Webster University COSC courses;Online tutorial or website (self-initiated),Very Little Expereience,Very Little Expereience,Very Little Expereience,Strongly Agree,Agree,Strongly Agree,Agree,Partially Disagree,Slightly helpful,Very helpful,Slightly helpful,Extremely helpful,Undecided (not sure if helpful or harmful),Undecided (not sure if helpful or harmful),Slightly helpful,,Agree,Agree,Somewhat Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Better pacing,,A (90 +),Computer Science;Computer Science with an Emphasis on Machine Learning
2025/12/06 10:04:40 AM EST,12/6/2025,Yes,5,6,6,Moderately Experienced,Between Slightly and Moderately Experienced,Moderately Experienced,No Experience At all,No Experience At all,No Experience At all,No Experience At all,No Experience At all,No Experience At all,No Experience At all,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,COSC 1550;COSC 1560,Slightly Experienced,Slightly Experienced,Slightly Experienced,Strongly Agree,Agree,Agree,Partially Agree,Partially Agree,Slightly helpful,Extremely helpful,Extremely helpful,Extremely helpful,Extremely helpful,Undecided (not sure if helpful or harmful),Extremely helpful,"Just exposing myself to the information really helped me out a lot, and learn lots of new types of algorithms in programming.",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,N/A,Classes,A (90 +),Computer Science
2025/12/07 5:39:47 PM EST,12/7/2025,Yes,7,6,4,Extremely Experienced,Very Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Slightly Experienced,Very Little Experience,No Experience At all,Slightly Experienced,Moderately Experienced,Extremely Experienced,Very Experienced,Moderately Experienced,Extremely Experienced,Moderately Experienced,Very Experienced,Very Experienced,Very Experienced,Moderately Experienced,Very Experienced,Very Experienced,COSC 1550;COSC 1560;Other Webster University COSC courses;High School Computer Science course (other than AP);Dual credit course with another institution;Online tutorial or website (self-initiated),Moderately Experienced,Very Experienced,Very Experienced,Agree,Neutral,Partially Disagree,Agree,Partially Agree,Undecided (not sure if helpful or harmful),Slightly helpful,Extremely helpful,Very helpful,Very helpful,Slightly helpful,Slightly harmful,"The things that benefited me the most were the assignments, being in class, and doing in class practices. The textbook was king of helpful but for many classes they were tacked on as a recommendation not something that had to be used. Exams and Tests always brought on too much stress and anxiety for me to realistically hold a grasp on the material and just usually made me kind of lose interest in the course if I did bad on one and that determined my entire grade throughout the semester.",Somewhat Agree,Agree,Agree,Somewhat Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,"I don't really feel like anything could be done as I felt that I was properly accommodated and that I got timely feedback from the professor and help when I asked for it. 

The one thing I could complain about is that the study guide contained to many things to realistically study for and if you studied on what you thought were the most important parts and they weren't on the test you were just out of luck which was kinda sad.",,B (80 +),Computer Science with an Emphasis on Software Engineering;
2025/12/07 6:24:37 PM EST,12/7/2025,Yes,7,6,5,Moderately Experienced,No Experience At all,Slightly Experienced,No Experience At all,Very Little Experience,No Experience At all,Between Slightly and Moderately Experienced,No Experience At all,No Experience At all,,Very Experienced,Moderately Experienced,Moderately Experienced,Very Experienced,Very Experienced,Very Experienced,Moderately Experienced,Very Experienced,Moderately Experienced,Very Experienced,Moderately Experienced,COSC 1550;COSC 1560;Other Webster University COSC courses,No Experience At All,No Experience At All,No Experience At All,Neutral,Neutral,Neutral,Neutral,Neutral,Very helpful,Very helpful,Extremely helpful,Extremely helpful,Very helpful,Extremely helpful,Slightly helpful,na,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,na,na,B (80 +),Computer Science
2025/12/07 8:49:45 PM EST,12/7/2025,Yes,6,5,4,Between Slightly and Moderately Experienced,Very Little Experience,Slightly Experienced,Very Little Experience,Very Little Experience,No Experience At all,No Experience At all,No Experience At all,No Experience At all,No Experience At all,Very Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Between Slightly and Moderately Experienced,Moderately Experienced,Moderately Experienced,Between Slightly and Moderately Experienced,Slightly Experienced,Moderately Experienced,Moderately Experienced,COSC 1550;COSC 1560;Dual credit course with another institution;Raspberry Pie Kit,No Experience At All,No Experience At All,No Experience At All,Agree,Partially Agree,Partially Agree,Partially Agree,Partially Agree,Very helpful,Extremely helpful,Very helpful,Very helpful,Undecided (not sure if helpful or harmful),Undecided (not sure if helpful or harmful),Undecided (not sure if helpful or harmful),reading the textbook and applying it in assignments,Agree,Strongly Agree,Agree,Somewhat Agree,Somewhat disagree,Somewhat Agree,Strongly Agree,Strongly Agree,Assignments that put what is learned into practice,,B (80 +),
2025/12/07 9:34:16 PM EST,12/7/2025,Yes,7,7,4,Between Slightly and Moderately Experienced,No Experience At all,Very Experienced,Moderately Experienced,Moderately Experienced,No Experience At all,Very Little Experience,No Experience At all,Slightly Experienced,Very Experienced,Between Slightly and Moderately Experienced,Between Slightly and Moderately Experienced,Between Slightly and Moderately Experienced,Between Slightly and Moderately Experienced,Between Slightly and Moderately Experienced,Between Slightly and Moderately Experienced,Between Slightly and Moderately Experienced,Between Slightly and Moderately Experienced,Between Slightly and Moderately Experienced,Between Slightly and Moderately Experienced,Between Slightly and Moderately Experienced,COSC 1550;COSC 1560;Other Webster University COSC courses;Online course with an assigned instructor;Online tutorial or website (self-initiated);Work and Transfer school,No Experience At All,No Experience At All,Very Experienced,Agree,Neutral,Partially Agree,Agree,Disagree,Slightly helpful,Slightly helpful,Very helpful,Undecided (not sure if helpful or harmful),Undecided (not sure if helpful or harmful),Undecided (not sure if helpful or harmful),Undecided (not sure if helpful or harmful),,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,None,,B (80 +),Computer Science
2025/12/07 10:50:11 PM EST,12/7/2025,Yes,5,4,2,Moderately Experienced,No Experience At all,No Experience At all,No Experience At all,No Experience At all,No Experience At all,Slightly Experienced,No Experience At all,No Experience At all,No Experience At all,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,COSC 1550;COSC 1560;Other Webster University COSC courses,Slightly Experienced,Very Little Expereience,Very Little Expereience,Partially Disagree,Partially Disagree,Neutral,Neutral,Partially Disagree,Slightly helpful,Extremely helpful,Extremely helpful,Extremely helpful,Undecided (not sure if helpful or harmful),Undecided (not sure if helpful or harmful),Very helpful,Attending classes,Agree,Somewhat Agree,Agree,Agree,Somewhat Agree,Agree,Strongly Agree,Strongly Agree,More problems or examples to go over and answer as a class,,B (80 +),Computer Science with an Emphasis on Cybersecurity
2025/12/08 12:06:00 PM EST,12/8/2025,Yes,7,5,6,Very Experienced,Very Little Experience,Between Slightly and Moderately Experienced,Moderately Experienced,Between Slightly and Moderately Experienced,No Experience At all,Moderately Experienced,Slightly Experienced,Very Little Experience,,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,COSC 1550;COSC 1560;Other Webster University COSC courses;Online tutorial or website (self-initiated),Very Little Expereience,Very Little Expereience,Between Slightly and Moderately Experienced,Strongly Agree,Agree,Agree,Agree,Neutral,Slightly helpful,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful,Very helpful,,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,None,Pointers,A (90 +),Computer Science with an Emphasis on Cybersecurity
2025/12/08 12:11:31 PM EST,12/8/2025,Yes,6,4,4,Moderately Experienced,No Experience At all,No Experience At all,Slightly Experienced,No Experience At all,No Experience At all,Slightly Experienced,No Experience At all,No Experience At all,Moderately Experienced,Extremely Experienced,Extremely Experienced,Extremely Experienced,Extremely Experienced,Moderately Experienced,Moderately Experienced,Moderately Experienced,Extremely Experienced,Between Slightly and Moderately Experienced,Very Experienced,Very Experienced,COSC 1550;COSC 1560;Other Webster University COSC courses;Dual credit course with another institution;Online tutorial or website (self-initiated),Very Little Expereience,No Experience At All,No Experience At All,Disagree,Strongly Disagree,Strongly Disagree,Partially Agree,Strongly Disagree,Undecided (not sure if helpful or harmful),Slightly helpful,Extremely helpful,Extremely helpful,Extremely helpful,Slightly harmful,Extremely helpful,Exams and preparing for exams,Strongly Agree,Strongly Agree,Strongly Agree,Somewhat Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,There should be problems that require independent thinkings and not just trying to follow what the instructor does,Coding,C (70 +),Computer Science
2025/12/08 4:17:04 PM EST,12/5/2025,Yes,5,4,3,Slightly Experienced,No Experience At all,No Experience At all,Very Little Experience,Very Little Experience,No Experience At all,Very Little Experience,Very Little Experience,No Experience At all,Very Little Experience,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,Very Experienced,COSC 1550;COSC 1560;Other Webster University COSC courses;Online tutorial or website (self-initiated),No Experience At All,No Experience At All,Very Little Expereience,Agree,Neutral,Neutral,Partially Agree,Strongly Disagree,Undecided (not sure if helpful or harmful),Very helpful,Very helpful,Extremely helpful,Undecided (not sure if helpful or harmful),Undecided (not sure if helpful or harmful),Very helpful,attending class,Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree,"I don't remember much about programming I and II, it was a while ago. COSC 3810 went way too fast and was difficult to follow with so much information thrown at us. If the class wasn't rushed every day it would be less overwhelming. ",My understanding of other programming languages besides C++,A (90 +),Computer Science with an Emphasis on Cybersecurity
